Edges,RuntimeInSeconds
277,0.2201
544,0.2193
883,0.5632
1181,0.4628
1497,0.2093
1726,1.0978
2008,1.5624
2444,0.4207
2658,0.3524
2876,3.7855
2876,6.6565
6019,13.1586
8895,9.4845
11949,12.0581
15074,9.6267
18140,43.5314
21140,14.8978
23898,64.7541
26880,11.437
30435,42.2783
196,0.0638
396,0.0817
596,1.8369
796,0.1934
996,1.2664
1196,1.3462
1396,0.9598
1596,1.984
1796,0.766
1996,11.0835
1996,10.6409
3996,8.3827
5996,14.5386
7996,12.9239
9996,21.853
11996,19.7997
13996,33.3173
15996,21.3426
17996,29.898
19996,14.2183
784,0.1391
1429,0.1903
2034,0.2842
2611,0.396
3178,0.7083
3725,0.4812
4227,2.085
4716,3.4102
5166,0.9754
5705,10.9306
5705,10.3394
10377,12.4521
14451,10.3228
18033,36.0844
21608,31.4998
24999,17.0031
28169,22.2816
31534,26.3005
34774,19.098
37958,12.3802
